258392,507061,550131,550137,554838,555398,638485	1327187,133910,1624000,554401
63396,781519,88831	210686
547093	554683
1719518,439196,554863,614381	258400,258401,511018
1022662,176781,206452	1327285,15389,79449
662653	555118
174888,33138,533656	576927,703675
554562	358509,358510
511018,551883,69793,69796	228415,345016,461586
531627	1462023,1808603,507061,555191,56246,614751,895269
789399	531565
614599,614600,614601	1544952
125406	125792,526948,557999
412687,549647	252312,597974,895485,98638
519238,627915	474451,555156,72870,759490
154907,293258,30811	154907,1957,293258,368858
44866,511018	1997481,258400
179094,225730,856413	555081,9271
341651,9215	511031,554865
536946	291203
252043,9482	21686,554499,554679,814074,823611
550506	1327588,299518,4502
167852	1428584,197304,576927,86723
444352	508129
571835	1969244,794501
895821	275662,62811,780270
171482,558410	554460,554461
125792,526948,557999	1473940
547093,555217	259956,293136,6962
388902,600351	441277,8908
536946	401174,51633,554622,607618
551423	1040405,1853782
562319,614325	1469722,75458,75459
162923,268394,4498	614654
18653,548037,549530	1767500,473771,70771,72843
614412	358503,408865
535605,560982	1719262,1853734,56289,759513
1346585,555071,5562	1679,550456
1448652,1448653,415227,437545	1126441,415227,437545
74	1997466,614736,983064
550128,550132,550134,614428,807049	1358726,284179,510961
1304694,652176	228679,243705
1201259,895200	257814
341651,501197,614392	555281
341651,554745,554746,895797	341651
328664	1738140,27190,60289
531627	179829,347687
32789,554754,8060	173604,26107,511018,662687,9683
444352,614396	1473692
1718886,554729	1343876,15332
614488,8882	1408785,1408786,555445
1353045,864009	432496,681391
507847,550221	33742,555216
210616	1719015,206352,554833
533489,559019	1780,23455,24024,24108,457290
614552	501197,555013,614392,9307
258615	406594,7723
1347164	1418097,2176482,2176483,50382
789223	13349,152235,206889,7324
501197,555209,9215,9430	275661,275662
554757,9435	853916,96126
1564444,160165,162330,50383,554921,554922	328664
781707,894644	358509,614720,88831
3588,4790,4793	4701,4790,534309
554865,635996	26147,554523,554880
457721,491619	1327113,70365
29478,602436	1473940
133910,350861	160363,565513
1429823,554745,895797	1854455,531630
555278	1201100,1327564
529881	1332824
895771	119997,168047,683791
554458	531605,614404,90966
550129,550131,554667,614479	444589
531622	1327777,316992,531622
228423,614619	344999,86726
394686,4524,730433	554865,635996
258400,258401,511018	636583
704802,895873	832695
301881,315643,72288,9683	511125,554688
404167	1402119
895069,9215,9248	530384,9197
1327516,9003	1719607,292612
236486,358503,50354	1489791,175610,270993
507265,9097	1854312,1993351,1993352,350326,555197
258474	131078,4701,4790
1264080,133259	535658,555367,8918
652748,9113	1269897,1269899,1346412,1605497,1911895,5622
565504,565770	518888
1728962,1729067,214436	134622,179094,531645
558623	738157
1621,75421	168047,1775522
511685,526445	1854376,1854377,390921,405975,498858,526124
1191565,1378436	1719069,550455
2176045,614369	531505
439117,531613,555198	554865
1277988,1327592,531630	228633,251656
554794,555109,555110,555111	1052959,547266
4498,549365,614378	760414
614722	704802
162923,268394,4498	322819,614589
547093,550127,550131,550132,550134,550135,550141,614518	1719117,263732
565215,565217	497965,558623
550126,550127,550128,550129,550130,550132,550133,550135,550141,550142,614516,614517,614518,614519	554407,554865,8918
555281	200277,554538
119478,206352,401174	210292,210293
51926	62811,894907
1073137,1377672,1377673	1137828,1137829
221672	1455068
572866,614506,614507	421543,50573
290594,581706	275314,51738
1854315,342133,825575	629005
1310986,2190904,281066,308478,8396	226330,23423,23776
555071,600332,81045	1343900,412787
296237	1327704,1327705,531582
555078	1327735,554824,577120,8918
437500,506263	63297,70358
161451	1346334,210296
5114,555431	144979,178131,291301,558249
571623	69287
1327615,1429234,2176365,314714,555077,6876,73175	1738151,73175,9143
536946	1055640,222970,273308,70407
14017,1414,236485	1324556,1718874,20720
1473940,262995	1623805,262995
529881	549775,9430
1995793,1995794	1995660,555005
1327302,3588	1327302,3588
1429984,168784,441335,456180,7900	1327529,315693,76303
125406	531855
1333,1615366,487937	322220
536946	210660
350861,614406,895886,895887,895888,895889,895890	229707
525352,614376	1473940,1624183,597508
256897,639439	511018,554754,639276
113779,554880	1358732,1719567,1854064,1854065,342959,594792
1327653,1680587,549775,551082	262319,531630
531748,79130,94961	152681,531748,79130,94961
491506,614358,8807	576927,856371
614374	182913,372012
565163,822182	1854058,822182
942592	536384,614408,653905
404167,550131,554439	536946
555481,555482	2176484,2176485,2176486,2176487
630041	252209,554492,8744
1430122,820343	1719028,491490,788514,9248
1346411,3588	168594,533709,86726
555473	168047,210851,441277
555096,614423	555096,614423
152106	1268941,822182
258391,549366,554865	358509,358510
179829,426542,555233,65269	263970,284346,287883,5039,555058,9053
296617,69796,823611,823612	21686,823611
262980,372012	507007,9408
50382	1280441,1719351,554906
258394,554754,554865,808189	275661,275662
551449	258394,576850,8745,8746
529878	469181,548320
894827	1995679
501197,555209,9215,9430	291323,293211
171858,490646,554865,614392,9215,9430	814133
552205	1327427,63396,88831
565914	1792485,231507,34193
549450	34193,531786
1217	406676,557973,636994
163329,554637	99212
256897,639439	125406,554754
151155,241471	311828,637410
1327792,182765,350357	1327792,182765,350357,446747,93235
167852	413326,789550
175671,1854765,614718	1624057,232437,418459
531377,554413	531643
565859,9113	212839,491283
531394,550136	1854751,263970
511018,554754	4524,555136
565473	554492
581738,581739	581753
1327655,894791	228423,554893,8744
289462,554633	446860,554883
1853946	1408692,601102
614412	1252125,600672
34265,554492	275662,485527
210561	144761,328501,9030
264256,288663,895634,895635	264256
1310509	275997,600358,78258
549292,551123	1268544,252566
614549	2176176,275760
26766,614543	555039
168047,441277,614364	531708
119478,206352,401174	146539,188271
1358726,284179,510961	1327229,1327230,510961,614472,8487,99185
1564490,555209,555272,70365	1718991,614449,614451,614453,614455
129778,1564488,322003,680217	555460,565232
258400,511018	1995532,550455
1473533,1473534,572697,63396	572697,802019
449888,614473,8744,8745	531746,554521,555094
1993092,1993093	555039
293210,491506,572170	336668,856331,9297
1428288	1346733,1346734,144576,408865,437512,554906,722947
50383,68681	68681
229707,258388,550132,554666	133910,555101
555278,635254	552127,9408
526948,557999,895883	1473940
256835,558847	1408692,601102
2176825,554559	221744,614457,614458
118810,1537	131218,78212,971369
432577,560775,86726	395066,432577,560775,86726
182635,554714,614553	1327046,1408486
547289,759279,760581,760582	1327147,182879,182881
133910,144511,554401,555102,555103,894765,895232	11319,1327221,1327222,1327223,56289
143578,554413	614498
160165,50383,554688	1290385,1587862,639177
554639,856275	341620
555209,555272	169563,667462
600335,942740	1669,1854439
1194364,160165,21671	296237
170695,547959,947089	148399,219751,242918
1669,566727,662807,9070	258394,554598
531394,550136	263001,662807,9197
441396,550132	1719299,554790,669520
341651	1358732,1566880,1854774,342959
554492,708816	1327154,1503,1853930
1369709,555013,9307	113779,570707,949870
1428425,554438,555458	11319,1327221,1327222,1327223,56289
251098,554865	168047,501112
501197,547487,9215	531643,9683
548419,548420	203642,215351,779915
258615	4498,549365,614378
552127	258373
529637,547192,681486	389002
153,293211,511031,639437,9283	1564479,228679
546837	1199591,216846,415095
133910,1358781,1389399,2239088,2239089	531746,554521,662673
1718419,412966	1147161,1194550,181838,412967,442575,565622,614525,646113,761438
171858,438095,9215,9430	258400,258401,511018
51926	342959,805713
267815,548897,614600,99185	153798,614475,614476
292356,536472	1327471,1327472,9143
293211,444662	1329022,554407,8918
1089283,572866	710452
635427	536946
1679,550456	554883
1118634,292356,550131	1118634,292356
1679,448519	181091,495446
1719412,577685,614743	1700096,1718927
160024,20871,27190	328664,554679
258635,93955	1050293,124395,159400,344904
228488,790970,791033,89683,89685	168048
555132	258378,554390,554391,614464
48784,549676	439117,518919
614549	484706
4498,549366	637622,638677
555051,614494	341590,507061,9290
33748,5005,600635	1310422,79130
529881	1053248
131936,636514	565603
814255,942686	1244048,214372
221744,410759	258391,554868
21665,8908	21665,8908
341651,9215,9683	546573,894708
404758,549420	372012,614675
328280,4471,549420,554426,554427	258378,848515
586355,614552	577721,9097
33742,555217	1040907,49654
1564478,539600,555464	281057,531609,9435
525352,555058	341620
549363,614676,895181	258400,511018
554865,9482	531585
565241,565824	1401984,1448523,270980
614324	1345,372012,4701,4793
531735,99211	1408692,601102
614586,9683	1995891,389947,510912,530409
1492567	4524,856348
723319,778716	56196
614664,895017	258635,291065,577630,70365
111236,458208,900149	547736,614358,8807
554413,614503,614504,8908,9150	1346825,9150
1430714,555297	550129,555060
1551313,258392,341642,554407	221735,614718
33742,555217	337102
29478,56158	1461350,404167
825533	170708,3588
1358783,160165,50383,856436	490647,5068,518919
614412	1995826,249773
148158,887941	1478451,595076,85240
341651,501197,614392	637622
164782,477394	1427103,530319,8775
258592	1593855,9143
258615	18785,971061
173604,497965,558623	614586
422452,444846	525352,555058
176814,219987	154907,268324
293211,511031,555523	1300782,1492557,266990,284179
1300782,1492557,266990	1327230,529481,99185
614412	550456,555071
491506	4524,550549
805111	1324392,136340,14073,1969431,579227
293211,551132,614322	1492673,8918
760610	1473655,1564450
258474	258373,441364,614579
276453,37098	228807,66239,72887
554390,814780	1428425,1719021
174888,33138,533656	532032,549174,9143
1664754	268415,315413,75301
241056,377050,491506,558371,894465,9248	1780,1854384,1854385
1586163	179094,43268,856413
1194967,614516	1624071,404167,56246,614751
292612,555045,856265	1854074,1854075,292612,51736,583708
1327229,1327230,510961,614472,8487,99185	46267,477549
131075,1346422,629735	1473532,210338,291100,83972
1481178,281056,554568	281056,296239,549470,554568,554569,554570,554571
164556,530430	490651,72312
258401,554688	490651,72312
537156	1057963,46934
1345,344824	1345,297824,569453
133910,144511,554401,555102,555103,894765,895232	221743,221744,3588,614458
555068,614397	555068,614397
258391,549366,895392	1023210,1969056,1969057,761146
554754,813774	1915919,75421
203642,215351,779915	203642,215351,215365,283072
125406	1402962
258378,554590	1270167
555170,555171,639856	531608
531627,576956	1854362,301943,808578
1503,69935	134794,1428497,176491,1853704,4474,5946
1719284,4524,555060	1327698,474483,9475
531582,548435	52794,531505
943034	292356,8744
68612	1332900,554749
2176450,525352	293205,344999,86726
258592	431900,9197,9424
10414,554637	4470,554602
554995	25084,554783
228521,305916,547132,551744,551745,551746,551747,8778	2176691,9235
1194364,258378,549366,554390,554391,614464	1191782,1358829,555071
210513	1310706,72887,87621
1345,554679,9218	1738120,437500
554995	1057691,1969206,614450,614451
534382	85240,900435,99307
1096361,1698751,570673	1332875,314749,550131,667508,968284
1121913,455947,970626	196397,614715
462390,70365	531627
1327655,894791	1327655,1854305,555273,70365,894791
2238670	86765,8714
2176305,328605,614723,703674	258392,404150,555156
1121913,455947,970626	535627
1719323,258401	181756,314733
894934,894935	132023
4524,550549	70365,894791
56289	56289,645490
51926	402232,554461
74633	519571,555166
555209,83972	1327231,449423
565859,9113	1641763,9361
781707,9248	554868
148165,322800	1719286,394686,8702
4498,549365,614378	276453,549365
1327037,1358781,206352	1493
1096282	1854647,614574
525352,614376	444750,614498
296237,547266,554809	221735,263001,29610,325086,49452,5005,51633,554407,585933,614709,637235,79130,9150,96621
1060796,227975,8807	554585,8807
614459,8882	276720,388840
1327704,1327705,531582	1428704,8908
548889	560775,761059,86726
529881	143578,341651,614631,895796,895797
23455,24024,627915	555253,9020
547502	404167
171858,490646,554865,614392,9215,9430	118810
258391,549366,895392	549775,551082
444352	4524,555136
68760	258400,258401,511018
4498,549365,896200	1539065,531517,554790,614678
410748,555191,560775,856332	410748,560775
490646,550472,554865	635069,9215
555278,635254	555278,635254
1624104,5005,600635	9361
15332,555273,555508	155649,35189
4498	1408486,5568
166319,534977,554601	4498,549366,565555
160165,404758,412953	573694,8702,9435
417884,822648,822769	1326653,363034
258378,554590	258378,555513
614369	125792,557999
597400,80630	72887,856326,9297
16026,548578	1719045
350186,653029	449888,555405,614392
555096,614423	275997,614674
614412	649995
614662,614663	291323,614740
529881	614396,638334
1300782,1332909,1698751,1718816,531517,614678,667361,822954,968284	1124914,1327662,258385,314749,426542,500946,550131,554838,8882,9113
550537	1327657,549775,555272,70365
165334,264256	244520
550663	614568,69788
614697	33751,382562
292356,554461,9197	258394,554598,555029,8968
968463	555051,614494
326209	155481,171482,29478
1428616	174601,4792,68681
342476	1673170,605778
529881	459465,86757
29187,340981,438095,550139	9053
438095	177981,443328,83972
531643,9683	177981,443328,83972
210660	1854083,2108948,218640,228573,291323,59965
99212	252043,354221,438098,49452
1816435	614459,8882
547487,551883,9215	444352
528392,546823,555471	1226578,1564486,730433,9435
4498	358503,408865
531505	1993064
1270008,168594,86726	1744976,1780
31906,5046,557922	25851,29478,341620
256835,558847	1719272
530359,8784	152681,531748,79130,94961
402232,554461	536481
258394,314749,614491,614492	160131,182803,287405
550537	124395,293245
1327653,1680587,549775,551082	1327663,1327664,293205,406676,491506,614358
796054	507151
968637	531778,809129
438095	531964
614412	1718860,653941
113779,171713,389015	848515
814133	531672
10414,1530285,555386,555387	531608
314749,404167	337102,856443
4498,549365,896200	550601,565898
341651	342959,805713
1767988,1995799,555300,70407,81654	5568,6108
328664	328664,554679
16377	292356,8744
287069,577204,9475	614552
1072530,441335,571982	523250,775649
1201100,1327564	210660,2176218
529881	535627
328501,342959,9030	1854414,341625
165091	407448
1427181,1427182,1427183,1427184,550663	141880,614623
1428288	203818,251647,823612
1719194,555071	555071,600332
210758,809647	15332,555281
449888,554865,65414	449888,535317,565849
310586,555297,555300	1327464,66254,794949
296237,9264	614614,614615
531582,548435	51633,614726
547487,573875,9215	1327743,182672
555118,555310	462390,536472,638335
555209,555355,614723	328671
125406,125757	160165,533709
119478,206352,401174	1327046,30353
531720,662794	531720
555132	1767988,1995799,555300,70407,81654
291150,614587	179094,225730,43268,856413
5046,555191,69474	531746,554521,555094
614333,614569	614333,614334
305916,507167,550240,554524	1854577,305916,550240
438095,614392,9215	1089283,572866
76319	344999,86726
614412	1995827
485944,614392	435987,49166
175671,1854765,614718	179094,232437,531645
562319	159306,1995813
353773,614552,9197	5046,510830,9338
438095	258391,549366,554865
273245,942217	8475
2176450,525352	1669,662807
491506	1854414,341625
1118692	1327448,1327449,710452
456893,807114	1473692
1428406	21665,601042,8908
1269754,1528700,1719000,404123,491506,908111	1327655,1550979
555198,565232	1623896
554407,554865,8918	1327478
1194964,1669,339475,446747,8707	1744976,1780
1718872,88831,9264	570784,570786,66237
51926	1045346,219571,531557
1995596,555445,555446	1330405,18492,281953
4489,518919,742717,9481	4489,577047
1402070	228673,76316
125406,171858	125406,424812
555132	342133,554883
1719324,1719325,34265,438907,66102,68612,781802,9197	550663
1452,554555,807921,807922	306387
554648	1719272,554754
402232,554461	179829,426542,555233,65269
1719284,4524,555060	1217,1719509,4524
1124914,1327662,258385,314749,426542,500946,550131,554838,8882,9113	1327662,394686,426542,500946,550131
33023,534382,956379	132176,230764
314749,500946,933645	1038682,1332875,1332909,570673,667361,667454,822954,9297,968284
554763,84368	113779,171713
25761,441277	168047,441277
218993,99212	296810,602679
239829,50383	1428641,4489
356914,485674	168047,856299
554477,8918	212301,293245
292356,307682	273931
1564490,555209,555272,70365	1408497,221309
33742	1194553,555217
296237,547266	1197798,138481,198575
1717919	228679,413072,560988
681438,913250,913251	153,293210,293211,8746,9053
293210,554679,822407,823611,9097	1511066,24090
1182114,258619,917165,993750	155481,368853
1226539,35140,384806,565622,565707,895159,895378	536384
1068349,554492,79130	614392,649693
149305,1995470	139347,1798193
113659,1268899,859363	3592,555066,56215
131075,1473596,1767494	1473596
554865,9683	554485
241056,377050,491506,558371,894465,9248	1277983,1378143,1543657
119478,206352,401174	466928
1194655,170906	291323,4790,614605
179094,225730,43268,856413	1718964,179094,225730,43268,856413
1062239,2176344,296237,894594	401174,416614,614365
550663	210628,2176533
1389811,1402981,529440,832865	1280782,338362,65950
547093	29478,56158
1269754,491506	1620132,1780,24026
1676880,626553	652980
227376	635069
1250758,457443,48911	1744488,9197
1306911,7887	219918,571396,86123
1719299,554790,669520	1719605,1719606,218001
614322	614322
531658	1327155,1473832,667374
272902,548061,894752,99185	531362
1564383,554533,9020	531688,554857,70365
239830,50383,507063,511018,554906	301881,315643,72288,9683
139772	115457
531720	669342
1039814,477320	152332,1764399,1764400
547187	1679,550456
554492	154907,650767
547487,551883,9215	353605
241056,377050,491506,558371,894465,9248	24026,457290,627915
1624104,5005,600635	1854531,5005,632497,818092,819564
404167,550131,554439	1327653,1327654,1327655,1327656,1327657,550549,554526,70365,8702
1332842,555171	1332919,555171
4502,507061,531835,9236	182902,228673,530291
33742,6959	33751,342989,469204,555213,968342
549842,549843	179094,225730,856413
140127,650356	1473535,284179
1408806,8908	531495,601042,8908
549367,614411	271872,444847
547093	551339,614433
507009,554861,614498	531746,554521,662673
550128,550132,550134,614428,807049	50520
263970,550094,614540	1250758,457443
1028325,210113	614535,614737
1609265,2190673	572482
292356,307682	154907,170946,9053
614552	1584092,3954
4470	652980
550132,554437	2176484,2176485,2176486,2176487
536946	554679,9218
228423,554893,8744	390921,498858
548143,548144	529426
1719284,4524,555060	293136,894717
4470,554602	1327089,263001,328674,79130
547093,555217	1205834,33356,511031,639437
549367,614411	1473582,1719239,555510
4502,507061,531835,555408,555409,9236	144559,17205,547130
1359373	310586,555297,555300
565287	23302,530710,557999
258394,555209	292356,307682
1327750,344999,86726	169480,285821,555383,9159
1327089,8784	1327089,1327090,263001
160165,168846,228521,322420,554868	1718984,554500
4524,555171,565232,808189,9430,9435	559323,969285
531527,75409	529878
111131,195522	350715,350778,635567,639102
404167,614751	1718216,561082,9113
547487,87251,9215	529928
555005	263001,662807,9197
1719502,381796,547711	1854274,290777,381796,547711
555002,614492	555170,555171,639856
1327326,413326	232437,554492,70237,70238
554865,9482	258400,258401,511018
1038341,1038342,258490	172051,353559,4502,9236
942124	50539,614602
263052	258400,258401,511018
555372	1669,228644,806377
133910,144511,554401,555102,555103,894765,895232	1719130,1719131,413436
281120,301881	1473571,506776
205915,205916,833127	1101491,1987665,1987666,1987667,1987668,230890,271060,342105,370803,416729,468000,955658
895082	895082
296237,547266	555078
531394,550136	1564458
1280142,56289,573003,573005	1408843,776792
1327735,554824,577120,8918	554602,555105,555458
258400,446860,554718,554719	33742,856259,856260
549921	198575,204534,215339,281120,3961
167222,441238,507151,605778	167222,441238,531623,605778
531643,69044	314873,531643
21671,554862	555038,9143
562319	47116,50355,511722
113659,1268899,210696,292356,368858	1136234,1993306,328116
296237,547266	342959,805713
1429823,554745,895797	2176623,2176624,2176625,2176626,394686,4524,554739,554904,561082,565860,8702,8807
1718870,1718871	1612533,345016,560797
1574825,519623,549655,614579	168048,571186,775946
263001,530319	1580424,16026
548218	104500,1077552,2247
47144,485841,565167,73349	173604,477810
565315,565316	547746,565446
1775777,1775778,1775779,780401,99212	221735,263001,29610,325086,49452,5005,51633,554407,585933,614709,637235,79130,9150,96621
565900,565901,62882	547746,565446
258394,555209	1564449,9430
179094,534137	1624057,232437,5005
2234366,555438	1719251,570673
50412	715011,809616
37098,555261	1719532,550240,7924,894453
531627	388902,66186
555051,614494	1461350,404167
228423,554865,555310,600335	119997,600334,833933
220393,635050	21682,490651,69796,96932
554492	1428304,1624092,554407
263970,550094,614540	1718971,1719023,258394,555029
145126,388902	142699,554714,680723
407655,448519,7924,79512	249559,275342,391464,597421
281056,296239,549470,554568,554569,554570,554571	17326,554749
1668887,1669,555383,8719	777059,856433
531808	210609
554865,635996	614723,703674
341651,554745,554746,895797	1049571,262980
395657,444770,460935	460935,72887,96822
536946	263001,525352,69043,69044
2238670	293211,554492,558483
551251,558256	614606
29338,639091	554652
441341	1930839,4790
1719136	532074
33742,555217	4502,531835,9236
1363510	1719298,508129
547051,549793,614676,614677,614678	1226345
1448706,615392	9278
1384642,511018	1915870,554407,554479,577120,8918
531394	333718,73991,786391
295895,409082,409752,548674,548675,548676,548677,548678,548679,548680,97108	1183688,1775823,896039
444662,554407,555258,7924,8918	146584,328849
614412	1346777,63481
555209	124395,1431810
555504	9361
554536	160165,531760
341620	501197,554679,555013
1194967,614516	175671,1854765,614718
1270216,1850111	168048,571186,775946
555118,555309	1206653,1969533,455493,613311
554667	614438
547093	536946
1194553,555217	33742,555216
549775,9430	554865
1528758,444589	1200843,406756
444662	1854468,1854469,1854470,1854471
549601,856453	155634,856320
444352	1718959,258378
536946	554754,813774
4489,449888,555405	449888,555405,614392
1429529,296237	66227,794949,794951
614539	439196,554863,600375,70652
554729,760226	554729,760226
119997,168047,1853921,856419	177981,64189
171577	1218495,36473
1384513,555278,600335	159306,21678,531573
529881	1719250,191661,218001
554485	251098,554865
152692,548552	806611
549517,551651	547051,549793,614676,614677,614678
549420	164443,652633
1322706,270980	536946
1195013,554437	147985,551261
15350,653224,8512	15350,653224,653225
614429,614430	1118692,154907,1792450,550128,550131
1477895,50573	1163734,1854657,635412
2176488,435987,49166	600393,86761
229707	1719176
227437,451439	171216
555118,555310	614545,69796
151,179829	557905
531595	555464
33742,6959	1202837,2049611
1201259,895200	1995411,1995412
219666,342959,401174	251645,577483
1998268,554790	2049754,825574
571479,571777	1327646,1327647,218598,97320
410748,560775,942721	547718,856281
1214895,1214896	1327777,316992,531622
554536,614481	18785,971061
814133	258635,291065,70365
23714,551169,628417	46934,531951
1719381,558370	292356,550034,932159
614412	1719379
535627	1624157,236486,331327,358503
1141430,1358804,1854083,291323,59965	173177,530425,9424
1615072,18645,18721,2125450,2125451,23683	1481140,23683,429770,628784
1527332,638334,805505	1854723,614702
179829,253751,263970,34949,534461,555058,65269,69043,8744,9097,9197,9290	9053
281266,406594	1194214,1854731
153,293211,511031,639437,9283	2049650,466966,779402
4489,449888,555405,86786	328605,531863,555355
18412,1923618,547663,550728	548320,822872
529883	555514
169006,336609,43268	1637,282921,43268
341651,9215	436397,637622
1429578,1429579,555413	1478451,595076,85240
374033,424136	305452,507167
140127,650356	554702,789506
1776291,19358,555427,69502	610658,69502,971046
171858,614474	2176474,614392,614408
1461350,404167	1040907,49654
167924,655258	258400,258401,511018
547487,87251,9215	614429
267061,548337	547746,565446
555209	405861,531494
614498	614474
1345,636219	1384662,326136
140973,140988,323324,533837	1969271,1969272,506319
614333,614569	444956,444958,66227
1403019,160165,534461	179101,179102
549363	600389,779402
614723,703674	1668908,1669
1346331,554461	292356,368858
34193,531786	1150550
551125	9361
292356,69044	154907,350303,555316
531582,548435	345323,531822,9150
651403,651404	1695,293626,554697,919200
531505	155634,311249
151192	558623
549842,549843	179094,1853944,43268,65343,856413
15332,555281	1854233,228521,401174,444804,554833
1428450,1719115,554390,554391,614464	243102,299518,4502,856280
536400,971748	1310422,79130
220156,382527,550064,550065	153,293211,293338
154145,555260	1287671
1347287,572073	531643
25810,39769	159306,1995813
258394,555209	1125483,511018,614709,99211
550506	169369,394686
229707,894765	446998,535605,856475
179094,341844,531709,92138	153,347687,555041,69044
614722	1470747,805480
192264,554976	1718777,759884
1428429,1428430,50383,554906,577011	356914,581993,669409
444589,550131	404167,550131,554439
1269754,491506	133259,296237,377050,425317
2234493,2234494,2234495,984935	113257
548991	149526,229707,263567
1369667,1369668,1369669,554559	444589,444590
124395,1854084,292356,550034	1377868,253625,494249,533543,808392
547452	1969462,1969508
614369	441396,555302,555303
169369,258385,366187,9113	336668,856331,86723,9297
1327452,9435	322567,363144,617676,789286,789707,8800
550128,550132,550134,614428,807049	1428346,533360
341651	614712
1442152,529657	2039076,2039077,454378,8933
536389	1006134,207920,318168
942780	638334
258391,554868	444589,550131
2136524,361200,577011	1384778,258401,361200,511018
554883,614544	258400,491342
555051,614328,895181	341651
554652	1251535,148474
315328,47144,85240,856322,856323,856324,856325	85240,856490
37098,533848	37098,856415
663020	21686,49166,531494
296237,547266	14920,1515890,1718971,4521,491506
258530	382562,614635
547736,614358,8807	554639
555002	1738120,437500
1332827,287445	1492673,8918
179094,232437,531645	1327089,263001,328674,79130
4793,534730,614420,650719	1327304,4701,4790,534309
550126,550127,550128,550129,550130,550132,550133,550135,550141,550142,614516,614517,614518,614519	1719499,551409
276453,37098	229707,4701,555102
49654,531677	138481,531661
328671	152681,263001,291346,530319
292356,550034,932159	1718829,258392,394686,565857
160165,534461	551339,614433
859392	343967,9307
292356,460111,554461	66095,895069
1680552	1021906,554500
2209658,637046	129778,518919
228423,614619	144435,314837
4498,549366,565555	1343913,1343914,342151
555060	1288643,1854578
2099246,784691	438095
529552	1473930,1473931
1795723	614534,650078,894406
168846,554868,555458	1358754,462404,554399,554400
550126,550127,550128,550129,550130,550132,550133,550135,550141,550142,614516,614517,614518,614519	1718974,531658,895623
73991,760025	1327369,182719,182771,760579
614586,9683	306387
337102	4470,554602
143578,341651,614631,895796,895797	1182254,547266
206352,412787,549450	1327274,393459
581047,662765	581753
50573	160165,253635,856498
168256	1125483,511018,614709,99211
113779,113780,413485,79580	113779,570707,949870
1334170,135996,1764386,789286	45158,789223
536946	636795
1580114,968270	139347,1755405
228423,614721	1332854,1969133,614714
408295,4469,554602	1408692,601102
125559,200057,47918	293211,760142
216845,66095	219918,571396,86123
555118,555309	444352
33923,638633	132116,345716,428091
1375020	547746,565446
292356,460111,554461	171456,510614,636265,76337
508129	614534,650078,894406
501197,52264	614324
34575,34660,512189	1511074,294086
296237,507004,554808	21682,490651,69796,96932
554679,9218	20275,535627
614586	311828,635777
438095	168047,501112
125406	602436
296237	1099139,169369,394686
614322,614323	51642,531576
457775	547130
1408668	113779,554878
293211,565459	550601,565898
169369,394686,426542,8702	1854570,86788
260227,50355,554890	667454
1448753,220311,444846,809985	413026
