149,261649,437413	149,261649,437413,8924
1261425,261013,484447,680141	1047304,1667537,485391
705797,71608	705797,71608
470959	164346,256298
218640,46802	471397,471398,705792,735965,8595
517845	468358,469233
127660,479400,772390	243673,517682
454904	1240015,454904
517871,8906	8873
1008290,64976	1063987,756542
471598	124240
1352256,302930	467299,8385,8595
378317,794495	340364,517704
232321,467433,654343,761531	120368,471671
772019	468358,469233
105481,293565,632526,81143,87085	105001,81143
4333,466981	309175,466075
535450	217838
164449,448909	130658
304922,7598	1744,304897
1126945,191372	1140352,191466
175140	175140,679920
465160,467582,467591,517710	147833
4324,443391,471250,9108	388880,471217,471616
354047	200371,92198
1119468,421930	517705,8426
1149074,1149075,242937	92666
374973,465236,81172	471388,8595
244783,543087	3804,517842,85177
8906	471325,471326,471327
288371	124240
1064358,242257,705673,8945	1360457,252136
209979	18376,246651
470984	1064010,254039,437379
471132	34481,983152
356313	157491,421909,740126
465517,471471,517819,81172	465517,487527,81172
989370	465668,465670
1149074,1149075,242937	286627,92666
105001,206648,81143	105001,81143
237288,277715,325622	155239
28914,465711	198201,465711
304896,79324	304896,79324
232279	465648
161181,166051	359192,542834
386267,517744	469161,705765
70041	7804
274845,993075	155239
247640,4772	128430,46802
157842	243673,517682
1139465,1140564	467964,479338
164346,32436	8938
311852,470944	64779
465472,8873	103336,4324,9109
1029767,48747	122460
138088,517635	471555,964832
8426	471059,507436
123623,338577	149,261649,261749
261662,264264	1337097
467059,471009,79041	1101032,453103
4358	488636,66129
740128	467582,547870
1078514,479583	235603
149377,160904,27809,404648	24016,535025
1027799,46802	1124522,1178262,239589,254039
465365,474287	339343,4613,48687
36485	464934
291409,47618	291409,47618,48762
414194,736391	417326,49646
1020727,1064312,1348345,211070,236223,24652,305159,315809,340472,340563,359057,434487,452855,452973,452998,4613,467590,484301,48666,507276,647564,658497,791932,84166,8585,8813	305159,434487,8813
327037,547870	416783,550566
1353306,1577	291414,4615,512479,6722
191323,484257,80636	62186,62242
210087,4814,676424,676425,676426	210087,4814,676424,676425,676426
205773	165878,4324
147833	1020545,227146
410972,465094	164346,228166,237044,33073,352694,471376,61479,64960,8426,8765,8855,8938
866883	1068246,279858,303285,467582,791823
1353543,506968	1220535,156392,304930
1638316,794305	92666
158811,854147	52395,94144
247644	15420,4333,471000
277101,587463	359192,542834
239589,8179	239589,254039,8179
1566008	157491,421909,740126
471397,471398	705792,8595
1557603,429728	200371,92198
359192,703962	155758,232167,470881
1264269,470925,47489	1536,81172
239686	466825,793813
3443	147833,47489,9017
534565,9300	714657
4324	1154425,434319,434320
468947	153502,201168,518418
1353480,1353636,529778,769003	4333,466981
381926,471455	1145,232172,421964
162913,381895	472977,59400,6446
1051555,1701493,251412,274508,8093	736173
1063979,1063980,468357	1308610,8595
1554312,207997	473883
1285,1573	1285,482628
168814,211070	1064241,1078366,147053,160884,168814,259489,402558,452998,4648,488935,508210,9260
471616,517682	1690853,471616,517665
132963,340563	8585
473669,79574	1840
116532	116532,340554
468545,524645	660338
33240,340516,47513	105278
465296	8906
20757,470955	8807,9006
190894,335168	268969,4680
53013,542312	327037,474220
17445,476927	378859
18238,24823	161591
327037,466981	471293,471625
155048,158202,272376,485287,705693,705694,705695,8906	471456,8906,8938
25007,27720,324268	282333
105728,470972,559273	200152,470972
157842,517665	517682
14758	155921,305157
230867,232279	646052
187666,471616	226835,23944,532292,8855,8954
485310	78782
1021199,157491,471671,479330,989146	120368,443391
395094,62326	1285,482628
470959	232330,356265
132179,247611	1251619
268969,76527	117811,195386,195473
517615,772432	115512,228166
1566025,286667,337162,890969	200152,470972,852612
27958,30167,30819	30712
24938,384757	384449,465711,556132
970246	353774,66170
705797,71608,845612	48762,74426,888287
130470,949281	156217
466795,964999	1251990,175140
479585	8873
427281,471290,471291,471292,471293	471291
105728,157729,340563	1353641
34347,3791	166831,206871,260073
469018,517640	237044
452982,470910	356313,422276,452982,465160,467579,467580,467581,467583,467585,467591,470910,517735,517736,517737
1095109,41140	41140
242257,673840,8945,968996	8945,968996
20757,8378	277350,534962
1690726,232172,705799	232172,470955
1676,174822,22443,529732	487527,81172
1124200	247545,4333,466980,466981,474220,517641,517642,517700,517701
469161	355963
1218208,61537	1388739,303108,618357
534690	1240036,470974,470975,66129,668209
68429	247611,705786
134343	206895,471360
163740,210087	471059,507436
467044	1034954,1034955,1034956,289497,506736,7492
245435,471690	10826
1243295,327037,880866	327037
1178491,119273,1554424,816502,9065	1554264,155758,164346
157842,8873	157842
361104,559269	232162,4291,471077,8781
155758,232162,322156,8781	179665,242257,9062
1078518,1178756,166815	7635
1211963,274522	105728,1319764,298386
466572	240755,280378,70666
1037391	1251700,190879,269082
242257,8945	242257,471595
465517,705719,81172	705719,81172
80670,80680	1064261,621964,976807
775380,892960	452982
469161,8873	470936
45271,62225,659253	775380
206678,517778	384579,488704,8595
256886,517677	92666
466210	105728,15420,157729,191088
452961	220334
589308,736532	517769,65625
402588,504661,669304	1596152,402588,504661
1064010,254039,437379	1064010,1078125,437379
190821,269559	302202,8765
143060	92666
130469,411369	74366
199207,68412	155271,232167,453006
318278,492523	479712
452855	359057,43991
182221,20746	182221,20746,471360
381840,534746	483760,483761,8509
243673,81205	243673,81205
1020727,1064312,1348345,211070,236223,24652,305159,315809,340472,340563,359057,434487,452855,452973,452998,4613,467590,484301,48666,507276,647564,658497,791932,84166,8585,8813	206808,8813
153916,473781	153916,471090,8936
232167	8765
8906	171660
4333	9065
53013,542312	143705,517804,53013
1439,65629,65632	4324,65629,65632
15413,216774,466226	15413,216774,466226
1439,65629,65632	242949
1149504,68011	479613
239589,37514,411360	239589,254039,8179
167644,471601,471602,471603,8855	167644,471601,471602,471603,8855
1021280,1660127,464921	468358,469233
218683,359223	671992
14758,471419,471562	3443,417533
471471,4850,50923	209101,291082,696736
147987,484101	1453303
388822,8906	261128,705675
14774,8204	1556396,198993,325403,357429
208111,291421,295909,295910	1435620,1549954,310820,310821
471354,471371,471372,471373,471374,8781,8906	517717,8562
8488	8397,9300
20746	191403,993217
466226,736022	1064150,466226,667147
964832	736030
384381	105728,15420,157729,191088
329650	15420,506940
488636,779976	4333,466981
369124	191323,199207,80636
772019	471713
27932,379313	1035013
1439,65629,65632	20757
160657	427281,471397,705793,8595
233668,236223	233668,236223
1439,292221,65629,65632	20757
466543	178787,466543
3641,471160,8906	8595
216369,434361,437405,471252,47489	437405
1520,29983	134707,94977
484789	210157,22633
465648	517809,59929
157537,492801	471140
419390	375544
232156,8397	115512,228166
207882,297231	428051
517615	453032
236223,291414,8703	14758
122460	1339410,9075
8906	129905,147833,705831
492208	12210,192821,503193,980454
397162,517792	1314612,279526
471061	485287
388880,429728,471616,8427	471088,8876
261727,465187,68395	134071,2095,632114
465296	386267,667311
61615	105728,1064081,1064082,1064083
20753,65632,90589	232172
9300	151755
465160,467585	427281,471397,705793,8595
211925,8906	400465,471672,471673
479704	471140
166748,256770,492025,492545	159264,411369,673649
1858	150581,471059
534789	199213,534789
1399066,241342	241342,8898
21134,8906	134731,8906
1064018,166712	281715,281774,452998
43036,469161,699450	4333,471159,705661
147053,20749,411369	147053,20749,411369
329683,338538	4358,705807
359303,468681	39649,555884
353774,66170	4317,47489
171660,243673	171660
206875,23955,373150	218615,218949
47488,735918,8906	166599,434320
200729,357429	200729,291414
1565423,1565424,1690136,381868,689099	4613,736135
155758,8781	147833,261649,384579
465296,471039	471493,471584
1272785,715622	1272785
1009007,1064010,254039,437379,8179,92641	117472,43665
153384,470936,470937,61578,8385	470937,61578,8385
18376,246651	14522,18376,48675
507489	92666
336729,471616,8969	117811,195386,195473
65632,983347	1439,65632
1556037,559269	340235,62390
14758,252969	14758,160194
238571,61380	479431
1139854,8906	8906
258680	44383,8703
1050980,166646,847610	1047258
474208,4850	4850
488636,998276	1211966,488636,9038
261128,471366,705675	261128,471366
15441,476923	452994,9070
236223,261128	260846
157842,28067	28067
1577,246903	451825,48665,48666,94309
1141122,359192	342199,430005,89709
9070	129905,147833,705831
517845	302988
1453400,550566	128429,416783,550566
134009,291414,8703	130470,949281
287120,384331,464970,467264	34993,7492
735845	4358,471660
1138870,1139159,453054,465160,503143	292240,359238,8385,9070
47569	1063903,121608
143060,467504,764750	1353116,232162,479772,8781
1223970,1840,4850	147569,536426
165891	736625
272376,311992,66170	147833,454604,471266,471267,47489
488520	289497,517719,7492
384832,517765,517766	465707,469618,517757
1737299	1353407,451854,845728
242257,8945,968996	1057043,70820
1120174,354322	354174,4498
798676	465595,471354,471371,471372,517668,8906
1139685,137920	487907
1078168,483760,8509	411369
261649,479799	121555,479799
277101,367972,370084,67881	155758,8385,8781
279858,467582,471239,8562	375475,471239,49902,8562
182221,20746	182221,20746
258522,471055	232172,386267
8397	288522
467396	9300
153916	9300
293721,713886	1272785,293721
802711	1064148,451514,62390
153916,471090,68011,8936	8595
215567,31041,473209	397162,506734
429728	243673,517682
8385,9070	8385,9070
673280	103336,232172,437405
140570	1020842,679395
260095,507275	206214,260124
179665,242257	1064358,242257,705718,8945
4507,704612	4507,704612
471296,471297	1577,254134
471140	24156,268969,503645
21659,522632,679292,679293	187606,26524
28148,31316,324268	148,164346,261649,261749
1020699,468452	302988,517662,517663
122948,191172,191433,5854	41326,877478
152054	105624,152054,158910,191379
735783	471470,62186
470975,66129	66129,998276
305157	155921,305157
122664	279526,554386
1164081,15420,6801	6801
1352699,475928	81169,8945
147833,517780	340472,506745
1577,466247	468556,517680
120368,471671	20886,74552,860470
47461	166747
1353458,471163,560886	454904
1442286,1442287,1442288,613417	200719,305159,8813
311992,452792	471176,48665
1139101,1139102,8906	340235,62303
537279,67961	471140
359228,369124,469255	155758,8385,8781
143060	1063956,1063957,1405
772019	1124331,517835
113323	465160,467582,467591,517710
464932,474226	471471,473922,4850
200728,200729,451058	1064300,1064301,8585
1021199	256298,8488
272376	517609
161591,397162,506734	471419,506734
4306,470957	8585,8813
537171,65629,65632	14
1093622,1219596,1342855,1353095,206505	1093622,1219596,1342855,1353095,206505
465160	272376,384710,517632
138202,166599	16657,471136
1557597,84166	264338,452973
467616,467617	134708,48675
20757,470955,8378	232172,470955
46610,857351	284880,302599,443755
150398,259489,700422,88825,924283	150398,1556328,259489,88825,924283
286609	1438
28067,673280	311992
471595,517816	242257,471595
3791,4337	3791,4337
130470,517869	417141,65629
1063958,437442,471562	400465,471672,471673
1565706,291409	291409,48762
314723,9065	305157,8509
1577,471561	386267,517744
205776,304929,8703	205776,304929,8703
377744,673764	28067,368728
184134	184134,384594
182221,470986,76527	65632
124240,302988	341208,449616,466131
1145	1145,473613,535857
1554289	1554279,1554280
736506	1064150,466226,667147
517718	488636,66129
8703	210166,44383
1676,23048	1676,529334
429728	471715
124240	8585
323831	43581,87445
269048	309535,96277
466705	187606,53014
260104,93500	218630
572868	465668,465670
157842,219657	143060,155271,157538,158910
357429,37514	357429,37514,8703
286911	129505,134009,291414,4615
474535,631620,632022,632937	4324
1445373,384449	232172,64710
1008281	1063987,756542
174836,334846	1453088,174836,259619,334846
477999,965227	129911,232321,489846
261649,384579	124240,206875,465187,465189
1064271,467299	1240036,470974,470975,66129,668209
1577,246903,74588,74589	1577,254134
1021280,1660127,464921	120324,466982,471555,517835,53013
1520,70779	1063897,304929,304930,461878
216385	517626
27601	140643,246068
24965	103336,437405
437300,479406	336504,6465
451853	120368,443391
1020773,1353329,1353330	124240
537414	115512,345365,736144
1353549,465160,544393	1145,654243
232156,467059,471009,79041	143060,517705,8426
555963	1394648,354047
1622,46611	92666
1293001,517609,631653	155758,8385,8781
3961	1556422,970291
772093	481088,93500
44383,8703	304067,339106,44331,503645
232162,471602	166748,535198
161591	268969,280195,67878,9300
1323860,85974	155758,161377,164346
4306	126890
474015	474015
286667,443391	337162,471671,989145
111023,1793	4850
164807	9300
44383,8703	105624,152054,158910,191379
1021280,1660127,464921	1336699,1336701,1353115
213322,24871	411369
207033,62242	191379
286097	291082,386375,393953,705816
469161,9044	37514,8703
470959	4358,471049,471378
31951	705792,8595
291472,427268,481128	291472,427268,481128
454289,470922,471563,8873	1536,81172
359192,359193,542833	155758,8385,8781
733375	471067
1098569,1140875,468011,471063,558881,569402,590410,590411	437405,471595,9109
1491768,47462	303108
129597,534565	397162,411369
4358	124240,138269,236675
143060,158910,48627	427281,471397,705793,8595
190894,335168	243673,384449
1285,470938,889832	1285,482628
113323	31610
536184	161591
452994,9070	165878,232171,373221
157842,28067	8873,9065,9300
9070,988714	1064061,206790
560974	1661162,336729
206678	3443,417533
1690725,471067,8906	260095
1095173,1095175,176014,246886,894027	161131
236223,246839	236223
119945,236223,471701,471702,471703,68412	452868
470974,470975,66129	261648
470910	3804,517842,85177
34347,3791	291414,4615,512479,6722
1124200	388486,419613,517685
153916,479616	4333,466981,479585
123623,153380,327037,338577	179055,465855
138088,466978,517635	260104,395233,433801,8595
474179	15763
159264,411369,673649	200727,3443,417533
471053,79041	384663,454904
452982	31951,453032
216368,216369,47489	171207
736487	356313,422276,452982,465160,467579,467580,467581,467583,467585,467591,470910,517735,517736,517737
471003	517612,7214,79879
772097	386267,517744
159264	20757
147703,16514,16657	147703,16514,16657
323831,733290	1453221
31951,453032	147833,517780
587485,659049	1251619
993124	993124
471129,650448	471129
94062	7804
471179,471180,8906	467727,8906
203880	253016,48666
1204553	1353169,679321
4333,569124	356313,422276,452982,465160,467579,467580,467581,467583,467585,467591,470910,517735,517736,517737
1126751,1138083,437853,449209,484804,615287	1360442,382089,637613
309213,8906	134343,236807,395094,88002
470904	187606,26524
3443,354292,569613	131475,354292
1240018,471029,471431,471489,9070,989266	452994,9070
216369,434361,437405,437462,453014	437405
1078139	1064241,8813
254134	254134,79751
970375	452982
237288,277715	465668,465670
311852	8873
378896,81205	62271,62273
172773,191429	160194
28067,8870	673280
359192,359193,542833	359192,542834
3804,93500	191265,3804,397479,517743
340101,468221,736510,876753	28779,326855,474298
4306,470957,74227	4306,470957
1036321,779599	158910,191379,473109
167644,370110,4358,8781	185274,386267
471136,64575	105728,157729
147833,470936,471039	147833,470936
1229019,1554331,452795	1554545,1554546
166169,24603	1251619
78782	467586,467590,471717
187606,53014	1554457,450775,471638
398986,469161	311992,368095,88095,976933
236223,470873,484780	539742
340472,62326	8807,9006
465296,8906	211925,467727,470959,8906
147833,279946,470936	388880,471217,471616
471219	242257,471558
1064342,465404	69436
471140,673280,78676	471674,78676
1166,8906	124240
261713,471140,473967,9070	134009,1439,794539
245435,32368	1453223,32368
28067,379313,59733	190894,335168
1520,191268	1520,232167,261649
471140,673649	159264,24929,437405,536554,9300
471221,62365	289497,452152,506736
120368,288884,471674,890969	120368,337162,44314,471671,569069,751390
1353463,175551,276871	276871,92641
1064271,1325273,467299,468357	8595
496534,517769	302988
79324,8983	160657,4850,8983
157517,157518,47461,47462	147053,20749,411369
4306,468846	128430,453017
1036284,243633,381926	61537
928444	471059,507436
657709	1064382,47599
278374,309122,949274	388880,471217,471616
105728,157729,340563	384515,471312
276871,507530,92641	1064010,276871,92641
437462,9017	268969,280195,67878,9300
309122,548081	191131,318016,620069,7527
471087	200728,200729,3443,451058
105350,14632	235603
1353107,8855	1223052,8855
936080,95683	81172
28915,46802,471635	1145,473613,535857
105534,24156,252969	105534
1353611,380213,452988,471223	16657,471136
468616	367677,8855
397162,517792	191379,44383,8703
714657	224753
143060	200728,200729,3443,451058
9075	338577,419378
1293056,422189	31951,59929
105728,105729,1353256,470972,470973	200152,470972
113323,349222,381983,590417	1120086,1141122,359227,473321
291414,47489	1139212,1395105
469539	176681
232172,421964	353599
24076,7674	12210,192821,503193,980454
471100	467015
59733	9065
286641	437405
479338,479439	465668,465670
9065	167644,302208
1172472,290990,388880	157518
469002	244576
1120086,1141122,359227,473321	397162
103368,1216397,239777,569074	31610
341397,479658	120368
115512,228166	206678,517778
632992	123623,260883,264093,264094,8938
668936	115512,228166
570175,570176	34481
304775,47458,556020	471419,506734
381895,479316,68842,7732	492545
517871,8906	474220,517870,517871,8906
993044	467586,467590,471717
395094,471372	309213,8906
894456,9038	1211966,488636,9038
53013	130360,53013
28067	4337,472962
304093,8703,93506	137164,363022,394476
465472,81647,8873	8397
163467	160080,378859
13620,517655,735795	13620,517750,735795
208296,471289	338577,419378
548742	449616,466131
261649,437442,471563	236223,291414,93506
240656,32722	1064071,1744,908141
1240031,1316776	466939,506727,517762
1577,488612	1577,488612,967907
285926,68395	285926,465187,68395
1217695,452990	1439,20753,378896,517790
1674989	1689,32529
854311	20757
506734	166589
471471,4850,50923	164346,453006,471376
483760,483761,8509	276946,454842,8509
471167,471413,471414,471415	1285828,287120,467011
358971,427925	175140,283823
4772	153916,471090,67866,68011,8936
261649,384579,471045	149,261649,437413,8924
329683,338538	479507
1407384	4358,467928
143060,8426	338577,419378
14758,252969	14758
474085,517649	1439,20753,65629,65632
232338,311992	128429,128430,133805,20745
134998,354983	133811,311992
1064271,1325273,467299,468357	1063933,66129
1166,1577,387961,86543	206875,20745,465187
149,261649,437413,8924	261649,437413,8924
466825,47635	466825,47635
187606	400465,53014
623727	103336,217820,437405
467315	333096,471360
546588,591414	454866
236223,291414,466543	293721
1240015,454904	288884,471674
470872,517802	471053,79041
134343,340472	134343
158743,280263	15130,41300
236223	517769,65625
157538,454289	454289,8397
547870,8781	517853,8385,8781
443851	1353407,451854,845728
570181	534571,66129
232330,260136	4355,4358
8585	74366
380213,452988,471223	120368
137164,363022,394476	137164,363022,394476
152098	24016,28067,8938
1353556,466979	130470
465472,8873	453103
1633191,651778	131475,354292,74552,85053
367677	147833,470936
1249008,466373	232172,437405
414723,535246	471140
465296,471039	380213,45970,471223
151362	129320,190879
180693	1035006,1242,95262
285889,735870	163746,472813
123623,327037,369124,8906	218640,46802
1283966	232338,311992
268969,304067,7542,83839	331957,59635,66122,71629
247644	120368,443391
1101736	148004
156144,1577,466247	367628,8595
147833,47489,9017	147833,454604,471266,471267,47489
132963,9065	200371,92198
153590,492776	160194,252969,556015
120368,471671	120368
1008301,384674	1536934,647304,962906
247529,751258,89043	1593,160884,2095
492621,492622	24076,77857
471136,64575	261662,517659
336729,340713,471616	547873
293721	1577,467044
772500	299364,81888
14758,252969	1520,191268
546734,602942	1063979,1063980,468357
1353582,1353583	340246,62365
396851	191311,256564
537279,67961	65629
433058,471616,547684	388880,471217,471616
115512	115512,228166
1240015,454904	454904
138088,466978,517635	1138036
4306,470957	210087,4814,676424,676425,676426
232156,736354	454904
327037	550491,62646
466507,4677	230820,473834
205773	429728,465472,8873
157229,1721666,210034,261593	157229,471641
32436,64575	302988
1127436,484517	2129,40887,875296
163605	20746
31951	9075
8873,9065	8873
160314,31428,454278	198213,517696
64960,8426,8427	64960,705798,8426,8427
103336,437405	4324
300394,473630	471059,507436
673280	8397,9300
1064300,1064301,8585	4317,47489
147833,8873,8876,9017	302208,471323
1536,81172	1536,81172
1690597,1690598,388486,680403,8562	260095
147833,292240,4307	147833,4307,517617
410972	470957,74227
143060,397162,470925	471595
517769	517769,65625
171660	1010915,1556153
103336,28067,437405	534440
1285,482628	1312
24661,286667,443391	165878,443391,471419
4306	261649,437413,8924
517871,8906	1124331,517835
473821,65294	210004,567822
166748,256770,492025,492545	159264,411369
548742	471555,964832
164346,471251,475928	164346,232167
1240033,288884,471674	34761,517744,53013
206732,247496	353774
471163	4333,466981
356313,422276,452982,465160,467579,467580,467581,467582,467583,467584,467585,467586,467587,467588,467591,467592	467586,467590,471717
1285,470938,889832	1166,1319760,889832
155079,603312	339106
120368,471671	157491,421909,740126
166589	397162,411369
466980	471563,471715,517753
992944	470972
340472,62326	340472,62326
230867,537467,73	260104,395233,8595
397162	7804
1440923,317858,336520,546651	175301,3963
209979	353774
157842,28067	8765
1120099,370084,660390	9075
8426	232330,260136
843668	1503445,502724,843668
191265,3804,397479,517743	7804
534565,9300	268969,280195,67878
200729,291414,546363	200728,200729,291414
302208,471392	4772
1100402,286619,471384,517626	120368,288884,471674,890969
124240,3443,471407	3443
191372	481088,93500
155552,61380	142173,359224,359226,359227
384464,465327	1556353,853118,853119
1064343,147833,352694	134708,48675
15420,4333,471000	64575
506968	737025
471058	1554312,207997,465976
129597,239144	471140
191268	1078138,536743
261649,479799	153916,68011
3803	3803
1029741	384594
240145,81071,85953	64960,705678,705679
1087343,156144,471008	156144,258522,467059,471008,471009,471010,471011
1140566,16904,17151,17511,17767,32804	1063910
1187737,162479	122664
1520,70779	1520
1690695	4333,466981,479585
1138007,471087	62317,658943
437300,466121,500466	336504,6465
206875,465187,68395	134708,48675
468739,471716	291414,4615,512479,6722
357429,37514,8703	129505,134009,291414,4615
437405	1078138,998276
969799	471558,517862
1064010,254039,437379	1063958,454289
534406	147569,536426
8906	31951,59929
59733	1307889
49253	59733
236791,655547	236791,655547
116724,28067	9108
468740,479587	154637,471000
517871,8906	658497,66122
154637	261662,8807
162193,31682,4613	3443,4613,4621
199483,47569,484378,70666	143784,176700
124240,1520,429728	164346,434361
129320,190879	129320,190879
47682	134708,48675
123623,153380,327037	9075
282404,289497,452152,471165	324206,355963,466247
1142315,150865,935260	140868
288522	166589
142039,517706,517707	1471768,739872
31951,453032	115512,228166
130407,331022,375078,414723,479449	194345
1068246,279858,303285,467582	388880,471217,471616
1448640,1448641,466674,53013	517828,53013
286619,471384,679815	286619,471384
187960,548992	388880,471217,471616
6809	1386575,155048,158202,272376,302166,705693,8906
32436	470925,471239
1078346,206678,429728,687725	429728,83839,92646
1078125,1430589,254039	1078125,254039
479616,556049	468556,517680
1558151,471163	682038,714498
411369	166589
1068305,305157	1068305,1353392,1596097,305157
163751,21073,247177,9210	52395,94144
591517,663077	246663,315809
660338	116532,340554
232330,260136	179665,242257
560902	257195,452137,8855
356313,381926	148004,326873
1020699,468452	1453053,292240,352694
517718	124240,138269,236675
465517,471471,81172	645899,8906
517610,64603,64604	18080,243146
175559	400465,53014
116947	1439,159264,241342,537171
7674	47485
1077264,1247212,384330,384331	1536934,647304,962906
340364,517704	1167255,1554526
130407,331022,375078,414723,479449	852668
224753	341208,449616,466131
159264,9300	232172,386267
1127015,654240	1063903,121608
1019444,254134	1138999,251403,392584,471297
395094,62326	1285,470938,889832
378859	286097
287101,29982,479670	105001,81143
255438,517813	21134,8906
14758	129505,134009
356313	453032
471558,726968	242257,471558
163740,40947,452036	163740,204324
147833	660338
133807,1570747,293721	133807,293721
15420,154637,470972,470973	353599
256886,517677	1139854,8906
1068290,31951,9075	9075
8873	1060639,242937
705797	1240037
410972,502756	115512,466981
1556149	146746,78185
340297	124240
474220,517848	4333,466981,474220,517641,517642
244573	1353454
1413315,305664,8870	537171,65629,65632
252969	191379,44383,8703
1353271,232162,467587,471199,8562	375475,471239,49902,8562
52866,52874,875781	29302,59190
206849,65632,710266	264462,3742
34481	34481
3447	9300
488636,779976	1353349,309074,384515,488636,606466
235600,246839	1064391,69436
1064358,242257,8945	452994,9070
384579,437413	31610
